date,people_vaccinated
2021-01-15,0
2021-01-16,191181
2021-01-17,33120
2021-01-18,229748
2021-01-19,220786
2021-01-20,131649
2021-01-21,237050
2021-01-22,347058
2021-01-23,191609
2021-01-24,33303
2021-01-25,408305
2021-01-26,5671
2021-01-27,326499
2021-01-28,572074
2021-01-29,571974
2021-01-30,244307
2021-01-31,14509
2021-02-01,191313
2021-02-02,188762
2021-02-03,310634
2021-02-04,509893
2021-02-05,457404
2021-02-06,358473
2021-02-07,37040
2021-02-08,446646
2021-02-09,352553
2021-02-10,405553
2021-02-11,487896
2021-02-12,462637
2021-02-13,77139
2021-02-15,373867
2021-02-16,222349
2021-02-17,203639
2021-02-18,536950
2021-02-19,311409
2021-02-20,271383
2021-02-21,160148
2021-02-22,184021
2021-02-23,277205
2021-02-24,299122
2021-02-25,321309
2021-02-26,346669
2021-02-27,235812
2021-02-28,56406
2021-03-01,411262
2021-03-02,650434
2021-03-03,832350
2021-03-04,1057714
2021-03-05,1199848
2021-03-06,1171620
2021-03-07,59600
2021-03-08,1715380
2021-03-09,1060944
2021-03-10,1030254
2021-03-11,401360
2021-03-12,1639663
2021-03-13,1232131
2021-03-14,144750
2021-03-15,2627099
2021-03-16,1782553
2021-03-17,1738750
2021-03-18,1825443
2021-03-19,2415800
2021-03-20,2283157
2021-03-21,449115
2021-03-22,3056851
2021-03-23,2100799
2021-03-24,2114586
2021-03-25,2154934
2021-03-26,2425146
2021-03-27,2014818
2021-03-28,218798
2021-03-29,551164
2021-03-30,1777637
2021-03-31,1794166
2021-04-01,3365597
2021-04-02,3932791
2021-04-03,2657881
2021-04-04,2939368
2021-04-05,3598471
2021-04-06,3659706
2021-04-07,2826012
2021-04-08,3693495
2021-04-09,3307330
2021-04-10,3122109
2021-04-11,2701439
2021-04-12,3455639
2021-04-13,2258875
2021-04-14,2877285
2021-04-15,2170056
2021-04-16,2059229
2021-04-17,2022592
2021-04-18,940694
2021-04-19,2287411
2021-04-21,2014180
2021-04-22,1910908
2021-04-25,4210739
2021-04-26,2091244
2021-04-27,1377035
2021-04-28,1274892
2021-04-29,1273729
2021-04-30,1565044
2021-05-01,952018
2021-05-02,375181
2021-05-03,992524
2021-05-04,931244
2021-05-05,1102722
2021-05-06,1328249
2021-05-07,1235937
2021-05-08,1071655
2021-05-09,488194
2021-05-10,1337337
2021-05-11,1365332
2021-05-12,1247900
2021-05-13,1282345
2021-05-14,773872
2021-05-15,1270650
2021-05-16,632223
2021-05-17,1325883
2021-05-18,1179982
2021-05-19,1063406
2021-05-20,1291046
2021-05-22,2594964
2021-05-23,813572
2021-05-24,2268317
2021-05-25,1209874
2021-05-26,2678262
2021-05-27,2593965
2021-05-28,1821956
2021-05-29,3553142
2021-05-30,1439309
2021-05-31,1593072
2021-06-01,2394095
2021-06-02,2281644
2021-06-03,2430093
2021-06-04,4876031
2021-06-05,1799154
2021-06-06,2303602
2021-06-07,2225875
2021-06-08,2862315
2021-06-09,2858486
2021-06-10,3103616
2021-06-11,3089657
2021-06-12,2239640
2021-06-13,2917542
2021-06-14,2998211
2021-06-15,2259925
2021-06-16,2611979
2021-06-17,4110239
2021-06-18,2989804
2021-06-19,3950266
2021-06-20,3048024
2021-06-21,8203530
2021-06-22,5841374
2021-06-23,3134333
2021-06-24,5931674
2021-06-25,5707713
2021-06-26,6893275
2021-06-27,2663131
2021-06-28,2629455
2021-06-29,4632233
2021-06-30,1232022
2021-07-01,4283058
2021-07-02,645930
2021-07-03,5892354
2021-07-04,2223901
2021-07-05,2296492
2021-07-06,2030799
2021-07-07,2402200
2021-07-08,7494156
2021-07-10,4492585
2021-07-11,847354
2021-07-12,2593929
2021-07-13,4774758
2021-07-14,2141963
2021-07-15,2586687
2021-07-16,2549037
2021-07-17,3228536
2021-07-19,4499021
2021-07-20,2323429
2021-07-21,1543000
2021-07-22,3685939
2021-07-23,2874665
2021-07-24,3567879
2021-07-25,1415012
2021-07-26,4713442
2021-07-27,2807912
2021-07-28,3221210
2021-07-29,3595468
2021-07-30,3679574
2021-08-01,8174273
2021-08-03,10096011
2021-08-04,3035678
2021-08-05,4504775
2021-08-06,4410510
2021-08-07,4336591
2021-08-08,1289442
2021-08-09,4490464
2021-08-10,3438031
2021-08-11,3384241
2021-08-13,9865786
2021-08-14,5729286
2021-08-16,6106371
2021-08-17,4773202
2021-08-18,4243617
2021-08-19,3417453
2021-08-20,4986155
2021-08-21,2190685
2021-08-22,2893973
2021-08-23,1020721
2021-08-24,4673045
2021-08-25,6460721
2021-08-26,4789283
2021-08-27,7928444
2021-08-28,7453586
2021-08-29,4640950
2021-08-30,4923588
2021-08-31,3924888
2021-09-01,12666048
2021-09-02,5959837
2021-09-03,4039886
2021-09-04,1348015
2021-09-05,4303492
2021-09-06,2542932
2021-09-07,8141709
2021-09-08,7458431
2021-09-09,7232228
2021-09-10,2270062
2021-09-11,6019845
2021-09-12,4352704
2021-09-13,6709383
2021-09-14,1615655
2021-09-15,5193953
2021-09-16,5985845
2021-09-17,3263125
2021-09-18,11100063
2021-09-19,5001493
2021-09-20,4356448
2021-09-21,5797296
2021-09-22,3299395
2021-09-23,5549124
2021-09-24,6113546
2021-09-25,2251933
2021-09-26,2027125
2021-09-27,7701510
2021-09-28,2542765
2021-09-29,3447382
2021-09-30,3655730
2021-10-01,3795154
2021-10-02,4212102
2021-10-03,2788082
2021-10-04,2522286
2021-10-05,3811564
2021-10-06,2897698
2021-10-07,1888597
2021-10-08,4296779
2021-10-09,4083876
2021-10-10,4253174
2021-10-11,1839134
2021-10-12,3349439
2021-10-13,2281386
2021-10-14,1166491
2021-10-15,1281332
2021-10-16,575975
2021-10-17,1544248
2021-10-18,1102560
2021-10-19,3501378
2021-10-20,5705937
2021-10-21,3705798
2021-10-22,2852557
2021-10-23,1679543
2021-10-24,3592177
2021-10-25,767831
2021-10-26,2704943
2021-10-27,2275780
2021-10-28,2208541
2021-10-29,3566482
2021-10-30,2612109
2021-10-31,1730733
2021-11-01,2037639
2021-11-02,866207
2021-11-03,2055375
2021-11-04,855851
2021-11-05,236238
2021-11-06,774356
2021-11-07,842260
2021-11-08,1539500
2021-11-09,1234226
2021-11-10,1612863
2021-11-11,1274981
2021-11-12,2307238
2021-11-13,2302145
2021-11-14,1180613
2021-11-15,1270585
2021-11-16,2119881
2021-11-17,2198918
2021-11-18,2280679
2021-11-19,1636999
2021-11-20,3195562
2021-11-21,1623177
2021-11-22,2608531
2021-11-23,2619157
2021-11-24,2860722
2021-11-25,1439479
2021-11-26,4035094
2021-11-27,524738
2021-11-28,3572179
2021-11-29,1707475
2021-11-30,2698799
2021-12-01,2572347
2021-12-02,2901770
2021-12-03,1755510
2021-12-04,3461701
2021-12-05,1671851
2021-12-06,1476684
2021-12-07,2510537
2021-12-08,2350954
2021-12-09,2386956
2021-12-10,1301486
2021-12-11,3944006
2021-12-12,1320252
2021-12-13,1199310
2021-12-14,3056350
2021-12-15,1581743
2021-12-16,905385
2021-12-17,2080152
2021-12-18,1837282
2021-12-19,951123
2021-12-20,900274
2021-12-21,1922654
2021-12-22,621352
2021-12-23,1501826
2021-12-24,1472083
2021-12-25,2340951
2021-12-26,215553
2021-12-27,1023876
2021-12-28,1777309
2021-12-29,2219977
2021-12-30,905343
2021-12-31,2419808
2022-01-01,1335170
2022-01-02,689535
2022-01-03,4905665
2022-01-04,5217549
2022-01-05,6677905
2022-01-06,6622289
2022-01-07,8536349
2022-01-08,1305651
2022-01-09,5273368
2022-01-10,3255737
2022-01-11,6392220
2022-01-12,2858224
2022-01-13,4328361
2022-01-14,1048141
2022-01-15,3918584
2022-01-16,2380694
2022-01-17,2166091
2022-01-18,15777
2022-01-19,6491695
2022-01-20,3027610
2022-01-21,3412936
2022-01-22,2633157
2022-01-23,1838313
2022-01-24,388276
2022-01-25,2246613
2022-01-26,1862280
2022-01-27,826058
2022-01-28,1812178
2022-01-29,1538644
2022-01-30,2110035
2022-01-31,2272008
2022-02-01,1721706
2022-02-02,1509707
2022-02-03,1082045
2022-02-04,1376277
2022-02-05,1591526
2022-02-06,904202
2022-02-07,50639
2022-02-08,1414463
2022-02-09,1578955
2022-02-10,56435
2022-02-11,2050316
2022-02-12,683896
2022-02-13,985165
2022-02-14,429270
2022-02-15,1139815
2022-02-16,489757
2022-02-17,930354
2022-02-18,671536
2022-02-19,589681
2022-02-20,333307
2022-02-21,350547
2022-02-22,550167
2022-02-23,324324
2022-02-24,462830
2022-02-25,513864
2022-02-26,517670
2022-02-27,195140
2022-02-28,202272
2022-03-01,189883
2022-03-02,201991
2022-03-03,383042
2022-03-04,301720
2022-03-05,343645
2022-03-06,125528
2022-03-07,181543
2022-03-08,264873
2022-03-09,220993
2022-03-10,207511
2022-03-11,299842
2022-03-12,140153
2022-03-13,144066
2022-03-14,190185
2022-03-15,169232
2022-03-16,183695
2022-03-17,726874
2022-03-18,515099
2022-03-19,543724
2022-03-20,360945
2022-03-21,1380741
2022-03-22,1530766
2022-03-23,2624234
2022-03-24,2273113
2022-03-25,1198687
2022-03-26,2252177
2022-03-27,502938
2022-03-28,860503
2022-03-29,786860
2022-03-30,2174722
2022-03-31,1834110
2022-04-01,673053
2022-04-04,1517247
2022-04-05,732547
2022-04-06,958990
2022-04-07,697536
2022-04-08,550043
2022-04-09,666003
2022-04-10,297829
2022-04-11,346955
2022-04-12,810477
2022-04-13,373800
2022-04-14,463345
2022-04-15,103507
2022-04-18,792807
2022-04-19,564084
2022-04-20,175616
2022-04-21,403047
2022-04-22,484393
2022-04-24,893334
2022-04-25,186075
2022-04-26,559685
2022-04-27,525457
2022-04-28,465152
2022-04-29,720065
2022-04-30,354180
